ds,y
"2015/11/18","76"
"2015/11/19","90"
"2015/11/20","88"
"2015/11/21","39"
"2015/11/22","25"
"2015/11/23","118"
"2015/11/24","80"
"2015/11/25","75"
"2015/11/26","18"
"2015/11/27","49"
"2015/11/28","21"
"2015/11/29","10"
"2015/11/30","72"
"2015/12/01","89"
"2015/12/02","69"
"2015/12/03","78"
"2015/12/04","84"
"2015/12/05","27"
"2015/12/06","9"
"2015/12/07","93"
"2015/12/08","86"
"2015/12/09","85"
"2015/12/10","93"
"2015/12/11","93"
"2015/12/12","40"
"2015/12/13","16"
"2015/12/14","83"
"2015/12/15","73"
"2015/12/16","83"
"2015/12/17","88"
"2015/12/18","80"
"2015/12/19","50"
"2015/12/20","18"
"2015/12/21","80"
"2015/12/22","77"
"2015/12/23","64"
"2015/12/24","27"
"2015/12/25","1"
"2015/12/26","9"
"2015/12/27","2"
"2015/12/28","31"
"2015/12/29","45"
"2015/12/30","35"
"2015/12/31","35"
"2016/01/01","7"
"2016/01/02","15"
"2016/01/03","10"
"2016/01/04","54"
"2016/01/05","55"
"2016/01/06","70"
"2016/01/07","79"
"2016/01/08","83"
"2016/01/09","43"
"2016/01/10","7"
"2016/01/11","80"
"2016/01/12","68"
"2016/01/13","79"
"2016/01/14","74"
"2016/01/15","84"
"2016/01/16","34"
"2016/01/17","27"
"2016/01/18","66"
"2016/01/19","101"
"2016/01/20","88"
"2016/01/21","80"
"2016/01/22","83"
"2016/01/23","24"
"2016/01/24","7"
"2016/01/25","76"
"2016/01/26","91"
"2016/01/27","88"
"2016/01/28","75"
"2016/01/29","82"
"2016/01/30","37"
"2016/01/31","37"
"2016/02/01","94"
"2016/02/02","92"
"2016/02/03","76"
"2016/02/04","81"
"2016/02/05","93"
"2016/02/06","32"
"2016/02/07","13"
"2016/02/08","83.5"
"2016/02/09","103.5"
"2016/02/10","99"
"2016/02/11","73"
"2016/02/12","69.5"
"2016/02/13","25.5"
"2016/02/14","11"
"2016/02/15","78.5"
"2016/02/16","82"
"2016/02/17","66"
"2016/02/18","129"
"2016/02/19","94.5"
"2016/02/20","34"
"2016/02/21","14"
"2016/02/22","91"
"2016/02/23","108.5"
"2016/02/24","107"
"2016/02/25","97"
"2016/02/26","87.5"
"2016/02/27","42"
"2016/02/28","17"
"2016/02/29","102"
"2016/03/01","101.5"
"2016/03/02","78.5"
"2016/03/03","93"
"2016/03/04","70.5"
"2016/03/05","46"
"2016/03/06","11"
"2016/03/07","83.5"
"2016/03/08","91"
"2016/03/09","84.5"
"2016/03/10","91"
"2016/03/11","83"
"2016/03/12","23"
"2016/03/13","16"
"2016/03/14","90"
"2016/03/15","95"
"2016/03/16","87"
"2016/03/17","109"
"2016/03/18","85.5"
"2016/03/19","42"
"2016/03/20","17"
"2016/03/21","97.5"
"2016/03/22","94.5"
"2016/03/23","100"
"2016/03/24","92.5"
"2016/03/25","74"
"2016/03/26","20"
"2016/03/27","18"
"2016/03/28","96"
"2016/03/29","109"
"2016/03/30","105.5"
"2016/03/31","103"
"2016/04/01","94"
"2016/04/02","62.5"
"2016/04/03","20"
"2016/04/04","96"
"2016/04/05","114.5"
"2016/04/06","115"
"2016/04/07","85.5"
"2016/04/08","93.5"
"2016/04/09","34"
"2016/04/10","24"
"2016/04/11","101.5"
"2016/04/12","92.5"
"2016/04/13","78.5"
"2016/04/14","102.5"
"2016/04/15","85"
"2016/04/16","42.5"
"2016/04/17","13"
"2016/04/18","73.5"
"2016/04/19","131.5"
"2016/04/20","109"
"2016/04/21","114"
"2016/04/22","74.5"
"2016/04/23","21"
"2016/04/24","27"
"2016/04/25","100"
"2016/04/26","100"
"2016/04/27","119"
"2016/04/28","126"
"2016/04/29","96.5"
"2016/04/30","44"
"2016/05/01","15"
"2016/05/02","106.5"
"2016/05/03","97.5"
"2016/05/04","107"
"2016/05/05","100"
"2016/05/06","87"
"2016/05/07","27.5"
"2016/05/08","12"
"2016/05/09","101"
"2016/05/10","114"
"2016/05/11","119.5"
"2016/05/12","102"
"2016/05/13","102"
"2016/05/14","42"
"2016/05/15","19.5"
"2016/05/16","94.5"
"2016/05/17","114"
"2016/05/18","117"
"2016/05/19","112.5"
"2016/05/20","87.5"
"2016/05/21","33"
"2016/05/22","13"
"2016/05/23","104"
"2016/05/24","113.5"
"2016/05/25","100"
"2016/05/26","105"
"2016/05/27","77.5"
"2016/05/28","29"
"2016/05/29","39"
"2016/05/30","50.5"
"2016/05/31","120.5"
"2016/06/01","101.5"
"2016/06/02","87"
"2016/06/03","94.5"
"2016/06/04","22.5"
"2016/06/05","30"
"2016/06/06","104.5"
